584,7,,,,,,
Team1,Team2,Venue,Home Team,Start Time,Toss winner,Toss winner's decision,Match Winner
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Team 1,8pm,Pune Warriors,field,Royal Challengers Bangalore
Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,Team 1,4pm,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,4pm,Kings XI Punjab,field,Mumbai Indians
Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Team 1,8pm,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Deccan Chargers,field,Kolkata Knight Riders
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Rajasthan Royals,bat,Chennai Super Kings
Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Team 1,8pm,Pune Warriors,field,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Team 1,4pm,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Kings XI Punjab,field,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,4pm,Chennai Super Kings,bat,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Team 1,8pm,Delhi Daredevils,field,Mumbai Indians
Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Team 1,4pm,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,bat,Pune Warriors
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Chennai Super Kings
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Deccan Chargers,bat,Pune Warriors
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Mumbai Indians,field,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Deccan Chargers,Wankhede Stadium,Team 1,8pm,Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Delhi Daredevils,field,Kings XI Punjab
Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Team 1,8pm,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,Team 1,8pm,Deccan Chargers,field,Deccan Chargers
Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Team 1,8pm,Kings XI Punjab,bat,Kings XI Punjab
Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Rajasthan Royals
Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Kings XI Punjab,field,Deccan Chargers
Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,NA
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,NA,8pm,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",NA,8pm,Mumbai Indians,field,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Mumbai Indians,Pune Warriors,Wankhede Stadium,Team 1,4pm,Mumbai Indians,field,Pune Warriors
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Team 1,8pm,Kings XI Punjab,field,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,4pm,Delhi Daredevils,field,Royal Challengers Bangalore
Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Deccan Chargers,field,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Team 1,4pm,Kolkata Knight Riders,field,Rajasthan Royals
Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Team 1,8pm,Pune Warriors,bat,Pune Warriors
Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Team 1,8pm,Deccan Chargers,bat,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Kolkata Knight Riders
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Team 1,8pm,Rajasthan Royals,field,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Royal Challengers Bangalore,bat,Chennai Super Kings
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,8pm,Rajasthan Royals,bat,Kolkata Knight Riders
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Team 1,8pm,Chennai Super Kings,bat,Pune Warriors
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,field,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Team 1,8pm,Delhi Daredevils,field,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Team 1,4pm,Deccan Chargers,bat,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Team 1,8pm,Pune Warriors,bat,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,bat,Kolkata Knight Riders
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Team 1,4pm,Deccan Chargers,bat,Delhi Daredevils
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Pune Warriors,field,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Rajasthan Royals,bat,Chennai Super Kings
Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Pune Warriors
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,4pm,Mumbai Indians,bat,Kings XI Punjab
Deccan Chargers,Kolkata Knight Riders,Barabati Stadium,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Royal Challengers Bangalore
Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Team 1,8pm,NA,NA,NA
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Kings XI Punjab,bat,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Team 2,8pm,Royal Challengers Bangalore,field,NA
Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,Team 1,8pm,Deccan Chargers,bat,Deccan Chargers
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,8pm,Mumbai Indians,field,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Kings XI Punjab,bat,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,4pm,Delhi Daredevils,bat,Delhi Daredevils
Mumbai Indians,Deccan Chargers,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Kolkata Knight Riders
Deccan Chargers,Pune Warriors,Barabati Stadium,Team 1,4pm,Deccan Chargers,bat,Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,bat,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Pune Warriors,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,4pm,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Kolkata Knight Riders
Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Deccan Chargers,field,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Deccan Chargers,bat,Delhi Daredevils
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Team 1,8pm,Pune Warriors,field,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Team 1,4pm,Rajasthan Royals,bat,Rajasthan Royals
Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Deccan Chargers,bat,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,4pm,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Kings XI Punjab,bat,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Mumbai Indians,field,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Kings XI Punjab,field,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Rajasthan Royals,bat,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Delhi Daredevils,field,Delhi Daredevils
Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Royal Challengers Bangalore,field,Deccan Chargers
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,bat,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,NA,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium,NA,8pm,Mumbai Indians,field,Chennai Super Kings
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Team 2,8pm,Delhi Daredevils,field,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Team 2,8pm,Chennai Super Kings,bat,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,8pm,Mumbai Indians,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Pune Warriors,field,Sunrisers Hyderabad
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Team 1,4pm,Rajasthan Royals,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Team 1,8pm,Kolkata Knight Riders,field,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Team 1,4pm,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Team 1,8pm,Rajasthan Royals,bat,Pune Warriors
Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Sunrisers Hyderabad
Mumbai Indians,Pune Warriors,Wankhede Stadium,Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Pune Warriors,bat,Pune Warriors
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Kolkata Knight Riders,field,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Pune Warriors,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,field,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,bat,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Kings XI Punjab,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,bat,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,4pm,Mumbai Indians,bat,Delhi Daredevils
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Rajasthan Royals,bat,Chennai Super Kings
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Team 1,4pm,Pune Warriors,field,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Sunrisers Hyderabad,bat,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,8pm,Kings XI Punjab,bat,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Team 1,4pm,Sunrisers Hyderabad,bat,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Kolkata Knight Riders,field,Chennai Super Kings
Delhi Daredevils,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Pune Warriors,field,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Mumbai Indians,bat,Sunrisers Hyderabad
Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Team 1,8pm,Kolkata Knight Riders,bat,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Team 1,8pm,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,8pm,Rajasthan Royals,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Delhi Daredevils,bat,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Team 1,8pm,Pune Warriors,bat,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Team 1,4pm,Delhi Daredevils,bat,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,field,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,field,Royal Challengers Bangalore
Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Mumbai Indians
Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,field,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,JSCA International Stadium Complex,Team 1,4pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Team 1,8pm,Sunrisers Hyderabad,bat,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Team 1,4pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Pune Warriors,JSCA International Stadium Complex,Team 1,4pm,Kolkata Knight Riders,field,Pune Warriors
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Team 1,8pm,Rajasthan Royals,field,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Team 1,8pm,Delhi Daredevils,field,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Mumbai Indians,field,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Team 1,8pm,Chennai Super Kings,field,Royal Challengers Bangalore
Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Team 1,4pm,Pune Warriors,bat,Pune Warriors
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Kolkata Knight Riders,bat,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,NA,8pm,Sunrisers Hyderabad,bat,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,Eden Gardens,NA,8pm,Rajasthan Royals,bat,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Eden Gardens,NA,8pm,Mumbai Indians,bat,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,NA,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Sharjah Cricket Stadium,NA,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,NA,4pm,Chennai Super Kings,bat,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,NA,8pm,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,NA,4pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Delhi Daredevils,Dubai International Cricket Stadium,NA,8pm,Kolkata Knight Riders,bat,Delhi Daredevils
Rajasthan Royals,Kings XI Punjab,Sharjah Cricket Stadium,NA,8pm,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,Sheikh Zayed Stadium,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Sunrisers Hyderabad,Sharjah Cricket Stadium,NA,8pm,Sunrisers Hyderabad,field,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,NA,8pm,Rajasthan Royals,field,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,NA,8pm,Royal Challengers Bangalore,field,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Daredevils,Dubai International Cricket Stadium,NA,4pm,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
