Team Name,Player Name,Role,Matches Played,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy,Bowling Strike Rate
Kings XI Punjab,Shaun Marsh,Batsman,62,40.98,132.35,0,0,0
Kings XI Punjab,Glenn Maxwell,Allrounder,43,23.53,161.61,88.5,10.11,52.5
Kings XI Punjab,Nikhil Naik,Batsman,2,11.5,74.19,0,0,0
Kings XI Punjab,Axar Patel,Allrounder,45,17.22,121.86,27.55,7.38,22.39
Kings XI Punjab,Wriddhiman Saha,Batsman,90,25.94,131.77,0,0,0
Kings XI Punjab,Pradeep Sahu,Batsman,5,19,146.15,48.66,8.34,35
Kings XI Punjab,Sandee Sharma,Bowler,43,19,65.51,22.01,7.61,17.35
Kings XI Punjab,Mohit Sharma,Bowler,61,7.62,117.3,23.8,7.93,18
Kings XI Punjab,Marcus Stoinis,Allrounder,7,36.5,135.18,24.25,8.43,17.25
Kings XI Punjab,Swapnil Singh,Allrounder,1,0,0,0,9.66,0
Kings XI Punjab,Shardul Thakur,Bowler,1,0,116.66,38,12.66,18
Kings XI Punjab,Manan Vohra,Batsman,34,24.26,129.53,0,0,0
Kings XI Punjab,Hashim Amla,Batsman,6,26.16,131.93,0,0,0
Kings XI Punjab,Average,,,20.0715,119.6966667,40.11307692,8.902,26.21307692
,,,,,,,,
Kolkata Knight Riders,Gautam Gambhir,Batsman,132,30.79,124.15,0,0,0
Kolkata Knight Riders,Piyush Chawla,Allrounder,123,12.51,114.76,25.68,7.56,20.35
Kolkata Knight Riders,John Hastings,Bowler,3,0,0,22,6.82,19.33
Kolkata Knight Riders,Brad Hogg,Bowler,21,7.33,100,24.78,7.46,19.91
Kolkata Knight Riders,Jason Holder,Allrounder,11,7.6,122.58,61.2,8.5,43.2
Kolkata Knight Riders,Kuldeep Yadav,Bowler,3,0,0,16.66,8.33,12
Kolkata Knight Riders,Chris Lynn,Batsman,5,22.25,111.25,0,0,0
Kolkata Knight Riders,Morne Morkel,Bowler,70,11.45,140,27.12,7.69,21.15
Kolkata Knight Riders,Colin Munro,Batsman,4,10,100,0,7.5,0
Kolkata Knight Riders,Sunil Narine,Bowler,66,6.71,87.03,19.04,6.17,18.49
Kolkata Knight Riders,Manish Pandey,Batsman,89,25.98,118.42,0,0,0
Kolkata Knight Riders,Yusuf Pathan,Allrounder,134,30.67,146.78,32.95,7.32,26.97
Kolkata Knight Riders,Ankit Rajpoot,Bowler,6,0,33.33,33.25,8.86,22.5
Kolkata Knight Riders,Andre Russell,Allrounder,34,26.09,173.41,28.9,8.51,20.35
Kolkata Knight Riders,Rajagopal Sathish,Allrounder,34,15.88,116.88,77.33,10.01,46.33
Kolkata Knight Riders,Shakib Al Hasan,Allrounder,42,21.6,130.44,24.88,7.1,21
Kolkata Knight Riders,Jaydev Unadkat,Bowler,35,3,37.5,30.81,8.39,22.03
Kolkata Knight Riders,Robin Uthappa,Batsman,135,29.47,128.65,0,0,0
Kolkata Knight Riders,Suryakumar Yadav,Batsman,45,23.04,134.48,0,8,0
Kolkata Knight Riders,Umesh Yadav,Bowler,80,12,109.09,31.04,8.38,22.2
Kolkata Knight Riders,Shaun Tait,Bowler,21,7.66,88.46,27.82,8.11,20.56
